Date,ticker,exit_state,exit_flag,triggers,rank,horizon,fwd_return
2025-05-06,ITMG.JK,HEALTHY,0,,10,90D,0.012345689484547728
2025-05-08,ITMG.JK,EXIT,1,D2,10,90D,0.012429388502438465
2025-05-20,ITMG.JK,EXIT,1,D1,10,90D,0.00335953377852527
2025-06-02,ITMG.JK,EXIT,1,D1,10,90D,0.0022497034842443586
2025-06-13,ITMG.JK,HEALTHY,0,,10,90D,-0.021786436371999063
2025-06-25,ITMG.JK,EXIT,1,D2,10,90D,0.026018016587085135
2025-07-03,ITMG.JK,EXIT,1,D2,17,90D,0.02378249170980884
2025-08-19,ITMG.JK,EXIT,1,D1+D2,18,90D,0.04939937219405599
2025-08-29,ITMG.JK,EXIT,1,D1+D2,18,90D,0.027166187857802004
2025-09-03,ITMG.JK,EXIT,1,D1,14,90D,0.02024929077011528
2025-10-07,ITMG.JK,EXIT,1,D1,13,90D,0.013424831922785652
2025-10-09,ITMG.JK,EXIT,1,D1,13,90D,0.005394326642918168
2025-10-14,ITMG.JK,EXIT,1,D1,13,90D,0.031844355605832764
2025-12-01,ITMG.JK,EXIT,1,D1,17,90D,0.29223748190728016
2022-01-03,KLBF.JK,EXIT,1,D2,99,90D,-0.006172901189023694
2022-02-21,KLBF.JK,EXIT,1,D1,99,90D,0.05408007533391701
2022-03-01,KLBF.JK,EXIT,1,D1,14,90D,0.05104953990959182
2022-03-07,KLBF.JK,EXIT,1,D1,14,90D,0.03467793345598036
2022-04-07,KLBF.JK,EXIT,1,D1,13,90D,0.09955951479863501
2022-04-27,KLBF.JK,EXIT,1,D1,13,90D,0.006124065693417391
2022-05-09,KLBF.JK,EXIT,1,D1,13,90D,0.05868006622304045
2022-08-01,KLBF.JK,EXIT,1,D1,13,90D,0.2744479270446323
2022-08-19,KLBF.JK,EXIT,1,D1,13,90D,0.26086962482516984
2022-08-24,KLBF.JK,EXIT,1,D1,13,90D,0.30650160374221525
2022-09-01,KLBF.JK,HEALTHY,0,,9,90D,0.26888215413196437
2022-09-06,KLBF.JK,HEALTHY,0,,9,90D,0.24096381772688136
2022-11-18,KLBF.JK,HEALTHY,0,,7,90D,0.11165047136245398
2022-12-26,KLBF.JK,HEALTHY,0,,7,90D,0.03864727542237434
2022-12-29,KLBF.JK,HEALTHY,0,,7,90D,0.00478462627643661
2023-01-18,KLBF.JK,HEALTHY,0,,7,90D,0.014354003077885702
2023-01-30,KLBF.JK,HEALTHY,0,,7,90D,-0.041860402197710256
2023-02-02,KLBF.JK,HEALTHY,0,,9,90D,-0.009603657043140257
2023-03-03,KLBF.JK,EXIT,1,D1,10,90D,0.03793457714782389
2023-03-07,KLBF.JK,EXIT,1,D1,10,90D,0.013269436356856179
